,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,0.5,-111.0,-19.0,-94.0,-12.471281046201138,2.0,7.6875,281.625
1,1.0,0.0,0.0,0.0,-113.0,-19.0,-94.0,-13.0,2.5,4.3125,126.4375
2,1.0,0.0,0.0,0.0,-111.0,-17.0,-93.58160530437834,-6.0,4.0,2.0625,44.0
3,1.0,0.0,0.0,0.0,-106.0,-18.0,-91.98160530437833,-12.0,4.0,6.09375,210.625
4,1.0,0.0,0.0,0.0,-107.24595133227496,-16.885873928696416,-90.38160530437834,-9.554895325546875,5.0,3.125,160.0
5,1.0,0.0,0.0,0.0,-106.55489532554688,-16.0,-85.55489532554688,-6.2459513322749585,7.5,3.0,162.125
6,1.0,0.0,0.0,0.0,-105.47128104620114,-16.471281046201142,-89.0,-5.0,7.0,5.6875,251.625
7,1.0,0.0,0.0,0.0,-106.0,-17.0,-89.0,-5.0,7.0,3.3125,103.375
8,1.0,0.0,0.0,0.0,-105.74280839205795,-16.74280839205794,-89.0,-4.74280839205794,7.0,3.0,165.59375
9,1.0,0.0,0.0,0.0,-105.0,-16.0,-90.24595133227496,-4.0,5.5,8.0,417.25
10,1.0,0.0,0.0,0.0,-109.0,-18.0,-89.47128104620114,-5.0,6.0,9.5625,517.875
11,1.0,0.0,0.0,0.0,-107.0,-18.0,-89.88587392869641,-6.0,6.5,15.125,817.75
12,1.0,0.0,0.0,0.0,-109.0,-17.0,-92.0,-4.0,7.0,4.25,102.0
13,1.0,0.0,0.0,0.0,-108.0,-17.0,-92.0,-4.0,7.0,3.96875,115.3125
14,1.0,0.0,0.0,0.0,-108.0,-17.0,-92.0,-4.47128104620114,7.0,4.9375,109.0625
15,1.0,0.0,0.0,0.0,-108.0,-16.471281046201142,-87.88587392869641,-4.47128104620114,7.0,3.125,167.0
16,1.0,0.0,0.0,0.0,-107.47128104620114,-16.471281046201142,-90.55489532554688,-4.0,6.5,1.75,56.5625
17,1.0,0.0,0.0,0.0,-105.24595133227496,-16.471281046201142,-88.55489532554687,-4.0,6.5,6.5,340.3125
18,1.0,0.0,0.0,0.0,-104.68555914976395,-16.242808392057942,-87.68555914976395,-4.0,6.75,3.75,203.34375
19,1.0,0.0,0.0,0.0,-107.0,-17.0,-90.0,-4.0,6.0,4.125,220.9375
20,1.0,0.0,0.0,0.0,-106.0,-17.0,-90.0,-5.0,6.0,4.875,199.875
21,1.0,0.0,0.0,0.0,-108.0,-17.0,-92.0,-12.245951332274958,5.0,5.75,309.0
22,1.0,0.0,0.0,0.0,-108.0,-18.0,-90.88587392869641,-8.0,5.0,4.375,159.375
23,1.0,0.0,0.0,0.0,-108.74280839205794,-18.0,-91.47128104620114,-7.24280839205794,5.0,4.75,136.9375
24,1.0,0.0,0.0,0.0,-106.55489532554688,-15.554895325546877,-88.0,-7.47128104620114,2.0,6.0,323.5625
25,1.0,0.0,0.0,0.0,-105.47128104620114,-14.885873928696416,-88.0,-8.47128104620114,2.0,4.375,192.1875
26,1.0,0.0,0.0,0.0,-106.47128104620114,-16.0,-91.0,-9.471281046201138,6.0,3.25,164.9375
27,1.0,0.0,0.0,0.0,-107.0,-16.885873928696416,-88.0,-8.24595133227496,5.5,8.125,434.0
28,1.0,0.0,0.0,0.0,-107.0,-18.0,-88.0,-6.242808392057942,4.75,10.1875,436.59375
29,1.0,0.0,0.0,0.0,-105.0,-15.0,-88.24280839205795,-6.0,5.0,6.9375,376.0
30,1.0,0.0,0.0,0.0,-106.0,-14.0,-89.0,-8.0,2.0,5.0625,229.25
31,1.0,0.0,0.0,0.0,-106.0,-14.0,-89.42622227553854,1.0000000000000004,6.0,4.0,85.875
32,1.0,0.0,0.0,0.0,-107.0,-14.0,-89.9976508469671,0.0,6.0,3.625,90.0625
33,1.0,0.0,0.0,0.0,-107.0,-14.74280839205794,-90.56907941839567,-0.7428083920579398,6.0,4.40625,98.09375
34,1.0,0.0,0.0,0.0,-107.47128104620114,-15.0,-91.0,-1.47128104620114,8.0,5.3125,111.75
